date_excel;month;year;day;date;population;vaccination;dose1;dose2;dose1_cum;dose2_cum;vaccination_cum;infections_stadt;infections_lkr;immune_infect;immune_vac;immune;
44380;7;2021;3;2021-7-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44381;7;2021;4;2021-7-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44382;7;2021;5;2021-7-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44383;7;2021;6;2021-7-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44384;7;2021;7;2021-7-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44385;7;2021;8;2021-7-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44386;7;2021;9;2021-7-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44387;7;2021;10;2021-7-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44388;7;2021;11;2021-7-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44389;7;2021;12;2021-7-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44390;7;2021;13;2021-7-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44391;7;2021;14;2021-7-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44392;7;2021;15;2021-7-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44393;7;2021;16;2021-7-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44394;7;2021;17;2021-7-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44395;7;2021;18;2021-7-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44396;7;2021;19;2021-7-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44397;7;2021;20;2021-7-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44398;7;2021;21;2021-7-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44399;7;2021;22;2021-7-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44400;7;2021;23;2021-7-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44401;7;2021;24;2021-7-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44402;7;2021;25;2021-7-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44403;7;2021;26;2021-7-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44404;7;2021;27;2021-7-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44405;7;2021;28;2021-7-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44406;7;2021;29;2021-7-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44407;7;2021;30;2021-7-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44408;7;2021;31;2021-7-31;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44409;8;2021;1;2021-8-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44410;8;2021;2;2021-8-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44411;8;2021;3;2021-8-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44412;8;2021;4;2021-8-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44413;8;2021;5;2021-8-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44414;8;2021;6;2021-8-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44415;8;2021;7;2021-8-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44416;8;2021;8;2021-8-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44417;8;2021;9;2021-8-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44418;8;2021;10;2021-8-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44419;8;2021;11;2021-8-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44420;8;2021;12;2021-8-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44421;8;2021;13;2021-8-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44422;8;2021;14;2021-8-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44423;8;2021;15;2021-8-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44424;8;2021;16;2021-8-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44425;8;2021;17;2021-8-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44426;8;2021;18;2021-8-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44427;8;2021;19;2021-8-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44428;8;2021;20;2021-8-20;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44429;8;2021;21;2021-8-21;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44430;8;2021;22;2021-8-22;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44431;8;2021;23;2021-8-23;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44432;8;2021;24;2021-8-24;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44433;8;2021;25;2021-8-25;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44434;8;2021;26;2021-8-26;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44435;8;2021;27;2021-8-27;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44436;8;2021;28;2021-8-28;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44437;8;2021;29;2021-8-29;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44438;8;2021;30;2021-8-30;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44439;8;2021;31;2021-8-31;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44440;9;2021;1;2021-9-1;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44441;9;2021;2;2021-9-2;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44442;9;2021;3;2021-9-3;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44443;9;2021;4;2021-9-4;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44444;9;2021;5;2021-9-5;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44445;9;2021;6;2021-9-6;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44446;9;2021;7;2021-9-7;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44447;9;2021;8;2021-9-8;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44448;9;2021;9;2021-9-9;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44449;9;2021;10;2021-9-10;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44450;9;2021;11;2021-9-11;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44451;9;2021;12;2021-9-12;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44452;9;2021;13;2021-9-13;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44453;9;2021;14;2021-9-14;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44454;9;2021;15;2021-9-15;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44455;9;2021;16;2021-9-16;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44456;9;2021;17;2021-9-17;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44457;9;2021;18;2021-9-18;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
44458;9;2021;19;2021-9-19;249790;;;;5680,375;5251,125;5895;;;5491;5251;10742,125;
